trunkId, totalCost, maxCost, totalIterations, maxIter, totalSlope, maxSlope, totalBranches, maxBranches, sumOfTempCosts, maximalAvgK, count, maxCostIterationsCount, maxCostBranchesCount, maxBranchesIterationsCount
2188,35.2,519,69,16,198,85,88,20,21.5833333333333,1.33333333333333,11,16,5,13
22,2.86666666666667,172,2,2,0,0,5,5,0.266666666666667,1,1,2,5,2
257,35.6,664,29,11,295,148,20,7,27.9166666666667,1,5,11,7,11
654,2.93333333333333,107,8,6,26,26,7,4,1.61666666666667,1.5,2,6,4,6
1162,114.083333333333,3912,39,13,697,526,22,6,111.1,1.33333333333333,6,10,3,9
1229,52.8666666666667,3172,70,70,50,50,6,6,42.55,1,1,70,6,70
720,274.716666666667,3782,154,22,1160,382,117,12,163.516666666667,1.33333333333333,16,14,9,15
2695,2540.78333333333,111937,58,30,6897,6897,49,20,2583.4,1.21428571428571,3,30,20,30
2365,32,1331,42,16,113,76,27,12,29.7666666666667,1.2,4,16,12,16
1410,13.2833333333333,303,34,11,71,26,29,12,8.2,1.5,4,11,4,5
2761,11.5333333333333,194,29,11,94,47,29,7,4.33333333333333,1.4,5,11,7,5
924,13.5833333333333,438,21,6,63,63,51,32,9.13333333333333,1.27272727272727,4,6,32,6
2541,55.4166666666667,1839,53,19,272,122,63,16,45,1.33333333333333,6,19,16,19
913,14.3666666666667,226,27,8,15,11,42,8,8,1.33333333333333,7,8,7,3
1169,2.51666666666667,85,12,8,3,3,15,10,1.83333333333333,1.16666666666667,2,8,10,8
2716,2.53333333333333,152,5,5,81,81,4,4,2.53333333333333,1,1,5,4,5
79,49.8166666666667,1010,59,14,386,207,50,10,16.7333333333333,1.2,9,14,10,14
2611,39.3333333333333,511,103,25,201,34,101,14,34.9666666666667,1.4,11,25,13,2
2268,1.85,111,48,48,8,8,3,3,0.9,1,1,48,3,48
1406,6.68333333333333,190,11,5,0,0,18,10,2.75,1.25,3,5,10,5
702,67.4,2425,92,42,157,69,17,6,56.55,1.5,4,42,6,42
2006,39.0333333333333,1059,69,29,101,47,50,14,24.1,1.16666666666667,6,29,12,2
1585,15.2,277,40,11,114,35,49,18,10.2333333333333,1.25,5,8,6,7
684,85.0166666666667,2251,166,30,295,86,131,20,82.4666666666667,1.33333333333333,11,27,20,27
1119,2.55,153,5,5,14,14,3,3,2.06666666666667,1,1,5,3,5
1292,20.0833333333333,640,34,8,164,95,55,20,12.5166666666667,1.33333333333333,6,7,20,7
1846,6.65,268,11,6,43,41,10,4,5.75,1,3,6,4,6
2133,2.68333333333333,161,4,4,0,0,8,8,2.65,1.25,1,4,8,4
2689,11.1,190,21,7,117,79,26,8,6.58333333333333,1.25,5,4,3,3
2174,15.4666666666667,257,17,4,20,20,29,8,10.15,1.25,6,3,4,2
2876,9.56666666666667,161,24,7,105,81,19,4,5.55,1,6,4,4,4
292,219.816666666667,6324,197,63,285,105,63,21,204.05,1.4,6,63,21,63
550,258.166666666667,7695,183,63,192,87,21,11,75.4833333333333,1.5,4,63,11,63
413,10.4166666666667,268,12,5,86,52,20,9,1.06666666666667,1.2,3,4,5,5
